title title=bad
message text=（結局、俺達が同じ大学に進むことはなく\n気まずさ、無力感……様々な原因が重なり\n高校卒業と同時に別れる決断をした） name={user} 
message text=（それでも俺は……どうしても\n渚に会いたくなり、今日こうして\n久しぶりに会う約束をした） name={user} 
message text=そろそろ来るかな……渚 name={user} 
message text=久しぶり name=伊吹渚 
message text=渚……久しぶり\n元気そうで良かった name={user} 
message text={user}くんこそ\n相変わらずみたいだね name=伊吹渚 
message text=とりあえず何か注文しようか name={user} 
message text=（それから俺達は、近況報告と\nとりとめのない話をした） name={user} 
message text=（少しずつ笑顔を見せてくれるように\nなった渚を見て……俺はわずかな\n希望を抱いていた） name={user} 
message text=ここに来るのもなんだか随分と久しぶりだね\n……それで、今日はなんの用だったの？\n何か、話したいことがあるんでしょ？ name=伊吹渚 
message text=渚……その…… name={user} 
message text=もう一度……やり直さないか？ name={user} 
message text=……どうして、今更そんなこと言うの？ name=伊吹渚 
message text=俺は……ずっと後悔してた。離れて初めて\n幼い頃からずっとそばにいてくれた\n渚の大切さに気付いたんだ。だから…… name={user} 
message text=……ありがとう、嬉しい name=伊吹渚 
message text=じゃあ……！ name={user} 
message text=でも、ダメだよ name=伊吹渚 
message text=え…… name={user} 
message text=私だって{user}くんと別れて\nすっごく辛かった。それでもなんとか\n立ち直ろうって今まで頑張ってきたんだよ name=伊吹渚 
message text=それなのに……今更\nそんなこと言われても……無理だよ name=伊吹渚 
message text=あ……渚！\n待ってくれ……渚……！ name={user} 
message text=ごめんね、{user}くん\n大好きだったよ……さよなら name=伊吹渚 
message text=俺ともう一度……いや、なんでもない\nただ、久しぶりに渚の顔が見たかったんだ name={user} 
message text=……そっか\n私も、{user}くんの\n顔が見れて良かった name=伊吹渚 
message text=でも……会うのはこれっきりにしよっか name=伊吹渚 
message text=え…… name={user} 
message text=その方がお互いのためだと思うんだ\nそれじゃあ……バイバイ name=伊吹渚 
message text=渚……！ name={user} 
message text=ただいま name={user} 
message text=おかえりお兄ちゃん……って\nど、どうしたの！？ name=すみれ 
message text=いや……なんでもないよ\n何もなかった……いや\n何も……言えなかった name={user} 
message text=お兄ちゃん……良かったら\n話してくれない？ name=すみれ 
message text=すみれ……実は…… name={user} 
message text=そっか……渚ちゃんと……\nでも、確かにその方が\nお兄ちゃんにとってもいいと思うよ name=すみれ 
message text=お兄ちゃんも、渚ちゃんも……\n本当にお互いのことが好きだった\nでも、お別れした name=すみれ 
message text=それはきっと、一言じゃ言えないくらい\nいろんなことが重なったんだと思う name=すみれ 
message text=もし二人がこれからも会うことになったら\n渚ちゃんはお兄ちゃんと会うたびに\n楽しい時間だけじゃなくて…… name=すみれ 
message text=うまくいかなかった苦しい時間を\n思い出しちゃうんじゃないかな\nだから……もう会わないようにした name=すみれ 
message text=そう……なのかな。いや、そうかもしれない\n別れ際の渚は……泣いてた name={user} 
message text=お兄ちゃん……どこで間違えたのか\nもう一回考えてみよう？ name=すみれ 
message text=すみれ……俺は、俺は……っ！ name={user} 
narration text=――しばらく経った頃 
message text=本屋が新しく出来てる。これは渚の\n新作小説か。こんなに平積みされて……\nやっぱり凄いな。……買ってみるか name={user} 
message text=『一組の男女が惹かれ合い、別れ、\nそれぞれの人生を歩むまでの過程を\n瑞々しく、情感豊かに紡ぐ』……か name={user} 
message text=渚の文章は本当に優しいな……。あ、あれ？\nなんでページが濡れて……。渚……ごめんな\n……俺、馬鹿だったよ……大馬鹿だ……っ name={user} 
