title title=一ノ瀬怜 2話 自覚はあるけど
narration text=怜が千紗や雫と話し合うことを約束した、翌朝―― 
message text={user}さん、聞いて下さい！ name=一ノ瀬怜 
message text=千紗や雫とちゃんと話せました！ name=一ノ瀬怜 
message text=そうか、それは良かった name={user} 
message text=それで二人はなんて言ってたんだ？ name={user} 
message text=私が謝罪したら、逆に二人から「こっちこそ変な感じに name=一ノ瀬怜 
message text=なってごめんなさい」って謝られてしまいました name=一ノ瀬怜 
message text=ダンスレッスンで私が強く言い過ぎたことも name=一ノ瀬怜 
message text=二人とも気にしてないからって…… name=一ノ瀬怜 
message text=それどころか、これからも遠慮しないで name=一ノ瀬怜 
message text=厳しく指導してほしいって言われました name=一ノ瀬怜 
message text=怖がられていたらどうしようって name=一ノ瀬怜 
message text=心配していた私がバカみたいでした name=一ノ瀬怜 
message text=二人は怜のことをよく分かっているからこそ name={user} 
message text=厳しいアドバイスを期待しているのかもしれないな name={user} 
message text=そうですね……二人の期待に応えて name=一ノ瀬怜 
message text=これからもビシビシ厳しく指導していきます！ name=一ノ瀬怜 
message text=た、たまには加減してやってくれ name={user} 
message text=それと、二人も例のSNSの書き込みを name=一ノ瀬怜 
message text=見たらしくて…… name=一ノ瀬怜 
message text=書き込みというと、怜が怖い顔で name={user} 
message text=千紗と雫を睨んでいたってやつか name={user} 
message text=それで二人とも自分のことのように怒ってくれたんです name=一ノ瀬怜 
message text=「怜ちゃんを悪く言うなんて許せない」って…… name=一ノ瀬怜 
message text=千紗は「ネットに書き込んだ人は怜ちゃんのことを name=一ノ瀬怜 
message text=全然分かってない」って怒ってくれて name=一ノ瀬怜 
message text=雫は「クールなのにダンスは情熱的で、時々 name=一ノ瀬怜 
message text=怖いところが怜ちゃんの魅力なのに」って言ってくれて name=一ノ瀬怜 
message text=「時々怖い」は褒め言葉じゃない気がするが…… name={user} 
message text=そこは雫なりの冗談ですよ。もちろん、しっかり name=一ノ瀬怜 
message text=問い詰めて「時々怖い」は訂正させましたけど name=一ノ瀬怜 
message text=（そういうところが怖いのかもな……） name={user} 
message text=二人とも、いつも厳しい私が、たまに優しい笑顔を name=一ノ瀬怜 
message text=見せてくれるギャップが素敵だって…… name=一ノ瀬怜 
message text=それを聞いて、ちょっと引っかかるところはあったけど name=一ノ瀬怜 
message text=……やっぱり嬉しかったんです name=一ノ瀬怜 
message text=二人とも私を好きでいてくれてるんだと思ったら name=一ノ瀬怜 
message text=嬉しくて……でも少し照れくさくて…… name=一ノ瀬怜 
message text=つい「ふーん、そう」ってそっけなく答えちゃいました name=一ノ瀬怜 
message text=そんな態度を取るから name={user} 
message text=クールだと言われるんじゃないか？ name={user} 
message text=うう……それを言わないで下さい name=一ノ瀬怜 
message text=一応自覚はあるんですから name=一ノ瀬怜 
narration text=――その日の夜 
message text=（ん？　レッスン室にまだ誰か残っているのか？） name={user} 
message text=（あれは……怜じゃないか） name={user} 
message text=……あ、{user}さん。お疲れ様です name=一ノ瀬怜 
message text=怜、何をしてるんだ？ name={user} 
message text=ポスターを見ていました name=一ノ瀬怜 
message text=私達がデビューした時に作ったポスターを…… name=一ノ瀬怜 
message text=一目見ただけでみんなの個性が分かる name=一ノ瀬怜 
message text=いいポスターですよね name=一ノ瀬怜 
message text=さくらは太陽のように明るい笑顔で…… name=一ノ瀬怜 
message text=遙子さんは穏やかで包容力があって…… name=一ノ瀬怜 
message text=千紗は健気で可愛くて…… name=一ノ瀬怜 
message text=雫の茶目っ気が伝わってきて…… name=一ノ瀬怜 
message text=それに比べて、私は硬い気がして……こんな表情じゃ name=一ノ瀬怜 
message text=クールな印象を持たれるのも仕方ないですね name=一ノ瀬怜 
message text=俺は怜らしくていい表情だと思うが…… name={user} 
message text=そんなにクールだと思われるのが不満なのか？ name={user} 
message text=あ、誤解しないで下さい name=一ノ瀬怜 
message text=私はクールって言われるのが嫌な訳じゃないんです name=一ノ瀬怜 
message text=クールとか格好いいとか言われるのは嬉しいんです name=一ノ瀬怜 
message text=嬉しいんですけど…… name=一ノ瀬怜 
message text=ただ、私もみんなみたいに明るく可愛く振る舞えたら name=一ノ瀬怜 
message text=怖いなんて言われることもなかったのかなと思って…… name=一ノ瀬怜 
message text=気にしなくても、怜の写真も十分人を引きつける name={user} 
message text=魅力があると思うぞ。そうだな……あえて言うなら name={user} 
message text=もっと自然な素の笑顔でいられれば name={user} 
message text=アイドルとして一段上に行けるかもしれないな name={user} 
message text=自然な笑顔ですか？　……確かに私はみんなのように name=一ノ瀬怜 
message text=無邪気に笑えていないかもしれません name=一ノ瀬怜 
message text=意識して笑おうとすると不自然になりそうで…… name=一ノ瀬怜 
message text=私に自然な笑顔は無理なのかもしれませんね name=一ノ瀬怜 
message text=（そういう意味じゃなかったんだが……） name={user} 
message text=（ストイック過ぎる性格が悪い方向に出ているのかもな） name={user} 
message text=変なことを言ってすみませんでした name=一ノ瀬怜 
message text=人にはそれぞれ個性がありますから name=一ノ瀬怜 
message text=私は私らしくこれからも頑張っていきます name=一ノ瀬怜 
message text=（自分らしくいることは間違いじゃない） name={user} 
message text=（間違いじゃないが……） name={user} 
