title title=一ノ瀬怜 3話 アイドルとして
narration text=――ダンス大会当日 
message text=会場入りしたが、異様な雰囲気だな name={user} 
message text=みんな怜を遠巻きに見るだけで、誰も近づいて来ないぞ name={user} 
message text=私の出場はネットでも話題になっていましたから name=一ノ瀬怜 
message text=疎ましく感じてるんだと思います name=一ノ瀬怜 
message text=ダンサーの立場なら、自分達のステージに name=一ノ瀬怜 
message text=アイドルがしゃしゃり出て、いい気はしませんよね name=一ノ瀬怜 
message text=怜にとっては完全にアウェーってことか…… name={user} 
message text=だが、中には怜と話したい人もいるみたいだぞ name={user} 
message text=え？　あ……エリカ…… name=一ノ瀬怜 
message text=向こうも準備は出来ているみたいですね name=一ノ瀬怜 
message text=怜……よく恥ずかしげもなく顔を出せたわね name=平島エリカ 
message text=今日は決着をつけに来たわ name=一ノ瀬怜 
message text=ふざけないで。そんなヒラヒラしたドレスで踊る気？ name=平島エリカ 
message text=自分が場違いだって分からないの？ name=平島エリカ 
message text=そもそもダンスから逃げてアイドルになったあんたが name=平島エリカ 
message text=今更大会に出たところで…… name=平島エリカ 
message text=それは違うわ。私はダンスから逃げた訳じゃない name=一ノ瀬怜 
message text=私のダンスを生かす道を考えて name=一ノ瀬怜 
message text=アイドルに可能性を見出しただけよ name=一ノ瀬怜 
message text=私はダンスを捨てていない name=一ノ瀬怜 
message text=今日、あなたに勝ってそれを証明するわ name=一ノ瀬怜 
message text=真剣にダンス一筋に打ち込んできた私が name=平島エリカ 
message text=アイドルに負ける訳ないでしょ name=平島エリカ 
message text=いくら口で言っても納得しないでしょうね name=一ノ瀬怜 
message text=だからパフォーマンスで、あなたが馬鹿にした name=一ノ瀬怜 
message text=『アイドル』の本気を思い知らせてあげる name=一ノ瀬怜 
message text=（プログラムが順調に進んで、いよいよ怜の出番だが） name={user} 
message text=（果たしてアイドルが受け入れてもらえるのか……） name={user} 
message text=会場のみなさん、こんにちは！ name=一ノ瀬怜 
message text=エントリーナンバー12番、一ノ瀬怜です！ name=一ノ瀬怜 
message text=今日、私はアイドルとしてここに来ました！ name=一ノ瀬怜 
message text=（会場がざわついているな……。ダンス大会なのに） name={user} 
message text=（いきなりアイドル宣言されたら困惑するのも当然か） name={user} 
message text=世の中にはいろんなダンスがあります name=一ノ瀬怜 
message text=どんなダンスも等しく素敵で素晴らしい…… name=一ノ瀬怜 
message text=私の……アイドルのダンスを見てそれを感じて下さい！ name=一ノ瀬怜 
message text=ここからはアイドルが輝く時間です！ name=一ノ瀬怜 
message text=テンション上げて行きますよー！ name=一ノ瀬怜 
message text=（サニピの曲にあわせて笑顔で明るく元気に踊って……） name={user} 
message text=（怜はあくまでアイドルとして勝つつもりだな） name={user} 
message text=私と一緒に踊って楽しんで！ name=一ノ瀬怜 
message text=最高に楽しいステージにしましょう！ name=一ノ瀬怜 
message text=（怜のアイドルを貫き通したパフォーマンスは） name={user} 
message text=（大会で一番の盛り上がりを見せた。そして――） name={user} 
message text=ありがとうございます、優勝出来て嬉しいです name=一ノ瀬怜 
message text=（終わってみれば、怜の圧勝だった） name={user} 
message text=（あの盛り上がりを見れば誰も文句は言えないだろう） name={user} 
message text=アイドルの私がダンスの大会に出場することに name=一ノ瀬怜 
message text=戸惑われた方も多いと思います name=一ノ瀬怜 
message text=場違いだと思った方もきっといると思います name=一ノ瀬怜 
message text=でも、私はみんなに知ってほしかったんです name=一ノ瀬怜 
message text=格好いいのも、セクシーで可愛いのも、元気なのも…… name=一ノ瀬怜 
message text=どんなダンスも素敵で、そこに上下なんかないって name=一ノ瀬怜 
message text=アイドルをよく知らない人にも、明るくて元気な name=一ノ瀬怜 
message text=サニーピースのダンスを好きになってほしかったんです name=一ノ瀬怜 
