title title=一ノ瀬怜 2話 みんなと一緒に進むこと
narration text=――怜が仕事に復帰してから、数日後 
message text={user}さん name=一ノ瀬怜 
message text=もう一度、私と遙子さんでユニットを組ませて下さい name=一ノ瀬怜 
message text=急にどうしたんだ？ name={user} 
message text=ユニットバトルはもう終わったんだぞ name={user} 
message text=それは分かってます。でも、せっかくの遙子さんの name=一ノ瀬怜 
message text=想いを、こんな形のまま終わらせたくないんです name=一ノ瀬怜 
message text=BIG4になってから、私はずっと悩んでました name=一ノ瀬怜 
message text=ここからさらに上を目指すにはどうしたらいいのか…… name=一ノ瀬怜 
message text=悩んで、考えて、それでも答えが出なくて name=一ノ瀬怜 
message text=一人で焦って空回りして…… name=一ノ瀬怜 
message text=そんな私に、遙子さんは新しいユニットを組むことで name=一ノ瀬怜 
message text=自分を見つめ直す機会を作ってくれたんです name=一ノ瀬怜 
message text=なるほど、サニピから離れて活動することが name={user} 
message text=怜の視野を広げることに繋がると思ったんだな name={user} 
message text=それなのに、mihoさんから指摘されるまで name=一ノ瀬怜 
message text=私は遙子さんの真意に気付きませんでした name=一ノ瀬怜 
message text=しかもユニットバトルではあんな負け方をして…… name=一ノ瀬怜 
message text=このまま終わったら、私は悔やんでも悔やみきれません name=一ノ瀬怜 
message text=確かに、ユニットバトルは name={user} 
message text=途中棄権という不本意な終わり方だったな name={user} 
message text=遙子さんは尊敬出来る素敵なアイドルです name=一ノ瀬怜 
message text=その遙子さんが私のためにユニットを組んでくれた…… name=一ノ瀬怜 
message text=遙子さんが私を支えてくれていたように name=一ノ瀬怜 
message text=私も遙子さんの魅力を引き出したいんです name=一ノ瀬怜 
message text=二人で最高のステージを作り上げたいんです name=一ノ瀬怜 
message text=お願いします、もう一度だけチャンスを下さい！ name=一ノ瀬怜 
message text=チャンスか……実は今度、二人組のアイドル限定の name={user} 
message text=ライブイベントが開催されることになったんだ name={user} 
message text=星見プロにも参加のオファーが来ていたんだが…… name={user} 
message text=怜、遙子さんと出てみるか？ name={user} 
message text=はい！ name=一ノ瀬怜 
message text=私と遙子さんのユニットで参加させて下さい！ name=一ノ瀬怜 
message text=今度こそ悔いのないように name=一ノ瀬怜 
message text=納得のいくパフォーマンスをしてみせます！ name=一ノ瀬怜 
message text=遙子さんと、悔いのないように…… name=一ノ瀬怜 
