title title=一ノ瀬怜 3話 遠慮なく言い合える仲
narration text=――ライブイベント当日 
message text=いよいよ本番ですね。やれることは全部やりました name=一ノ瀬怜 
message text=後はステージで全力を尽くすだけです name=一ノ瀬怜 
message text=意気込みは十分のようだな。ところで、出場者の中に name={user} 
message text=気になる名前があったんだが…… name={user} 
message text=ユニットバトルの時、私達を挑発してきた二人組ですね name=一ノ瀬怜 
message text=まさかここでも顔を合わせることになるなんて name=一ノ瀬怜 
message text=彼女達とは前にもいざこざがあったと聞いてる name={user} 
message text=もし何か言われたら、すぐ俺に知らせてくれ name={user} 
message text=あぁ、そういうことなら name=一ノ瀬怜 
message text=彼女達とはさっき廊下ですれ違いましたよ name=一ノ瀬怜 
message text=「せいぜいステージで転ばないように name=一ノ瀬怜 
message text=気をつけることね」って皮肉を言われました name=一ノ瀬怜 
message text=手遅れだったか…… name={user} 
message text=だが挑発された割に怜は落ち着いているな name={user} 
message text=言われた時はムッとしましたよ name=一ノ瀬怜 
message text=でも、遙子さんのことを思い出したんです name=一ノ瀬怜 
message text=ユニットバトルの時から、ずっと一緒に頑張ってくれて name=一ノ瀬怜 
message text=今回も、じっくり話し合ってくれて name=一ノ瀬怜 
message text=そんな遙子さんのことを思ったら、パートナーとして name=一ノ瀬怜 
message text=こんな小さなことで取り乱す訳にはいかないなって name=一ノ瀬怜 
message text=それに、今更何を言われたところで関係ありません name=一ノ瀬怜 
message text=今は遙子さんと最高のパフォーマンスをするだけです name=一ノ瀬怜 
message text=（怜も成長したな） name={user} 
message text=（遙子さんと組んだことで、いい影響を受けたようだ） name={user} 
message text=ちなみに皮肉を言ってきた二人ですが、話していたら name=一ノ瀬怜 
message text=急に真っ青になって逃げ出したんですよ name=一ノ瀬怜 
message text=どうしたのかと思って振り返ったら name=一ノ瀬怜 
message text=私の後ろにニコニコ笑ってる遙子さんが立ってました name=一ノ瀬怜 
message text=そ、そうか、笑顔で撃退するなんてさすが遙子さんだ name={user} 
message text=私も感心してしまいました。無言で相手を退散させる name=一ノ瀬怜 
message text=遙子さんの迫力、私も見習いたいです name=一ノ瀬怜 
message text=（そこは見習うところなのか……？） name={user} 
message text=そろそろ開演の時間ですね name=一ノ瀬怜 
message text=では、行ってきます name=一ノ瀬怜 
message text=ユニットバトルの時に見せられなかった name=一ノ瀬怜 
message text=『私達』の全力のステージを観ていて下さい name=一ノ瀬怜 
message text=こんにちは！ name=一ノ瀬怜 
message text=ここからは私達が盛り上げていきます！ name=一ノ瀬怜 
message text=いつもは五人だけど name=一ノ瀬怜 
message text=今日は私達二人のユニットで楽しんで下さいね！ name=一ノ瀬怜 
message text=（これは、二人の良さがよく出ているな） name={user} 
message text=（タイプの違う二人がお互いの魅力を引き立てている） name={user} 
message text=（これは誰にでも出来ることじゃない） name={user} 
message text=（認め合い、高め合う二人だから出来るステージだ） name={user} 
message text=遙子さんが私の魅力を引き出してくれる…… name=一ノ瀬怜 
message text=一緒に頑張る仲間がいれば私はもっと成長出来る…… name=一ノ瀬怜 
message text=最高のステージを目指して、心を合わせて歌います name=一ノ瀬怜 
message text=私達二人のチームワーク、観ていて下さいね！ name=一ノ瀬怜 
message text=（怜と遙子さん……息の合った二人のパフォーマンスに） name={user} 
message text=（みんなが目を奪われている） name={user} 
message text=（次はどんな魅力が引き出されるのか） name={user} 
message text=（二人の今後が楽しみだ） name={user} 
narration text=――翌日 
message text=昨日のイベントは、沢山いた出演者の中で name={user} 
message text=怜達のユニットが一番盛り上がっていたな name={user} 
message text=会場のアンケートでも、断トツの人気だったそうだ name={user} 
message text=私も手応えを感じました。あの後、遙子さんとも name=一ノ瀬怜 
message text=前回のリベンジが出来たって話したんですよ name=一ノ瀬怜 
message text=ユニットバトルが悔いの残る終わり方だったので name=一ノ瀬怜 
message text=今回は全力を出し切れて良かったです name=一ノ瀬怜 
message text=まぁ、怜達のステージが盛り上がり過ぎて name={user} 
message text=次に歌うユニットは大変だったようだがな name={user} 
message text=私と遙子さんに噛みついてきた二人組ですね name=一ノ瀬怜 
message text=確かに、緊張のし過ぎでミスを連発していました name=一ノ瀬怜 
message text=怜達の圧巻のパフォーマンスを見せられた直後だからな name={user} 
message text=もの凄いプレッシャーを感じていたはずだ name={user} 
message text=ミスしたのは怜達のせいだと name={user} 
message text=逆恨みされないといいが…… name={user} 
message text=それは大丈夫だと思いますよ。あの後、落ち込んでる name=一ノ瀬怜 
message text=彼女達に遙子さんが声を掛けてましたから name=一ノ瀬怜 
message text=遙子さんが親身になって相談に乗ってあげたら name=一ノ瀬怜 
message text=二人とも帰る頃にはすっかり遙子さんに懐いてました name=一ノ瀬怜 
message text=あの優しさと包容力は遙子さんらしいですね name=一ノ瀬怜 
message text=私には真似出来そうにありません name=一ノ瀬怜 
message text=それでいいんじゃないか？　遙子さんには遙子さんの name={user} 
message text=怜には怜の良さがあるんだから name={user} 
message text=そうですね。私達はみんな違うから name=一ノ瀬怜 
message text=一緒にいて成長出来るのかもしれません name=一ノ瀬怜 
message text=怜も遙子さんと今まで以上に打ち解けたみたいだな name={user} 
message text=おかげさまで、最近はなんでも name=一ノ瀬怜 
message text=遠慮なく言い合えるようになりました name=一ノ瀬怜 
message text=今までも、遠慮していたようには見えなかったけどな name={user} 
message text=寮で時間がある時は name=一ノ瀬怜 
message text=遙子さんからいろんなことを教わってるんです name=一ノ瀬怜 
message text=これからも沢山のことを教え合って、一歩一歩 name=一ノ瀬怜 
message text=みんなと一緒に歩んで行けたらって思ってます name=一ノ瀬怜 
message text=……あ、もうこんな時間 name=一ノ瀬怜 
message text=レッスンがあるので私はこれで失礼しますね name=一ノ瀬怜 
message text=分かってると思うが name={user} 
message text=ハードワークにならないよう気をつけるんだぞ name={user} 
message text=その言葉、そっくりお返しします name=一ノ瀬怜 
message text={user}さんも適度に休憩して下さい name=一ノ瀬怜 
message text=あ……それから、そこにあるおにぎり name=一ノ瀬怜 
message text=食べたかったら食べてもいいですよ name=一ノ瀬怜 
message text=ありがとう、早速いただくよ name={user} 
message text=……このおにぎり、もしかして手作りか？ name={user} 
message text=……美味しい name={user} 
message text=なるほど、怜も日々成長しているな name={user} 
