title title=一ノ瀬怜 2話 お部屋に行ってもいいですか？
narration text=――全国ツアー中のある日 
message text=今日泊まる宿は温泉旅館なんですね name=一ノ瀬怜 
message text=ツアー中は毎日忙しいから name={user} 
message text=今夜くらいは温泉で英気を養ってくれ name={user} 
message text=ありがとうございます name=一ノ瀬怜 
message text=さくらも修学旅行みたいだってはしゃいでました name=一ノ瀬怜 
message text=他のメンバーの部屋に行くのは構わないが name={user} 
message text=夜更かしはしないようにな。明日も予定があるだろ？ name={user} 
message text=はい、例のサプライズ企画で name=一ノ瀬怜 
message text=以前話したファンの恋愛相談に乗ってきます name=一ノ瀬怜 
message text=どうアドバイスするか自分なりに考えてみましたが…… name=一ノ瀬怜 
message text=今後のこともあるので、少し不安ですね name=一ノ瀬怜 
message text=今後って、どういうことだ？ name={user} 
message text=実は、ファンレターで私に恋愛相談してきたファンは name=一ノ瀬怜 
message text=一人だけじゃないんです name=一ノ瀬怜 
message text=今回のツアー中、私は三人の恋愛相談に name=一ノ瀬怜 
message text=乗ることになっていて…… name=一ノ瀬怜 
message text=一人目でこんなに苦戦していて、全員にちゃんと name=一ノ瀬怜 
message text=アドバイス出来るのか……今から気が重いです name=一ノ瀬怜 
message text=どうすれば、もっと上手に name=一ノ瀬怜 
message text=恋のアドバイスが出来るようになるんでしょう…… name=一ノ瀬怜 
message text={user}さん…… name=一ノ瀬怜 
message text=短期間で恋愛のプロになれる方法はありませんか？ name=一ノ瀬怜 
message text=短期間でと言われても……そういうのは name={user} 
message text=沢山恋愛をして経験を積むしかないんじゃないか？ name={user} 
message text=経験を積む…… name=一ノ瀬怜 
message text=だったら、明日までに恋愛経験を沢山積めば…… name=一ノ瀬怜 
message text={user}さんも name=一ノ瀬怜 
message text=今夜はこの旅館に泊まるんですよね？ name=一ノ瀬怜 
message text=この後、お部屋に行ってもいいですか？ name=一ノ瀬怜 
message text=私が恋愛経験を積むのに協力して下さい！ name=一ノ瀬怜 
message text=ここが{user}さんの name=一ノ瀬怜 
message text=泊まってる部屋なんですね name=一ノ瀬怜 
message text=怜……。恋愛経験を積むのに協力してほしいって name={user} 
message text=どういうことだ？ name={user} 
message text=そうですね……では、早速始めましょう name=一ノ瀬怜 
message text={user}さん…… name=一ノ瀬怜 
message text=……ノートパソコンを貸して下さい name=一ノ瀬怜 
message text=ノートパソコン？ name={user} 
message text=確かに持ってきてはいるが…… name={user} 
message text=それを使ってサブスクで映画を観ます。徹夜で name=一ノ瀬怜 
message text=恋愛映画を観まくるので、朝まで付き合って下さい name=一ノ瀬怜 
message text=恋愛経験を積むってそういう意味か…… name={user} 
message text=それなら一人で観た方が集中出来るんじゃないか？ name={user} 
message text=パソコンは貸すから、自分の部屋で…… name={user} 
message text=私の寝起きの悪さは知ってますよね？ name=一ノ瀬怜 
message text=朝まで起きられない自信があります！ name=一ノ瀬怜 
message text=もしも夜中に寝落ちしたら name=一ノ瀬怜 
message text={user}さんは私が眠らないように name=一ノ瀬怜 
message text=そばにいて見張っていて下さい name=一ノ瀬怜 
message text=では早速、配信サイトを開いて…… name=一ノ瀬怜 
message text=うーん……恋愛映画って数が多いですね…… name=一ノ瀬怜 
message text={user}さんのオススメはありますか？ name=一ノ瀬怜 
message text=せっかくなので一緒に観て…… name=一ノ瀬怜 
message text=「パジャマパーティーをするから name=一ノ瀬怜 
message text=……さくらからメッセージです name=一ノ瀬怜 
message text=今すぐ私の部屋に全員集合～」…… name=一ノ瀬怜 
message text=完全に修学旅行気分だな name={user} 
message text=とりあえず返事をしておきますね name=一ノ瀬怜 
message text=ええと……「ごめんなさい」…… name=一ノ瀬怜 
message text=「今夜は{user}さんの name=一ノ瀬怜 
message text=部屋で一晩過ごすので参加出来ません」 name=一ノ瀬怜 
message text=これでよし。では、一緒に恋愛映画を観ましょう name=一ノ瀬怜 
message text=待て待て！ name={user} 
narration text=――翌日 
message text=もうこんな時間か…… name={user} 
message text=そろそろ怜が恋愛相談を終えて戻ってくる頃だな name={user} 
message text=お疲れ様です…… name=一ノ瀬怜 
message text=お疲れ様…… name={user} 
message text=やけに表情が暗いが、何かあったのか？ name={user} 
message text=実は……例のサプライズ企画で name=一ノ瀬怜 
message text=一人目の恋愛相談に答えてきたんですけど…… name=一ノ瀬怜 
message text=私は、好きなら告白するべきだって name=一ノ瀬怜 
message text=恋を後押ししたんです。そうしたら…… name=一ノ瀬怜 
message text=さっきその子からスタッフに連絡があって…… name=一ノ瀬怜 
message text=私の言葉を信じて告白して、フラれたそうです name=一ノ瀬怜 
message text=かなり落ち込んでいたらしくて…… name=一ノ瀬怜 
message text=私のせいです……私が余計なことを言わなければ…… name=一ノ瀬怜 
message text=そこまで思い詰めなくてもいいんじゃないか？ name={user} 
message text=結果がどうなるかなんて分からなかった訳だし name={user} 
message text=いえ、それ以前に name=一ノ瀬怜 
message text=私に恋愛相談なんて、向いてなかったんです name=一ノ瀬怜 
message text=恋のアドバイスなんて、もうやめた方がいいのかも…… name=一ノ瀬怜 
message text=（完全に自信をなくしているな……） name={user} 
message text=（元気づけてやれたらいいんだが……） name={user} 
