title title=一ノ瀬怜 3話 頑張るあなたを応援するわ
narration text=――翌日 
message text=おはようございます…… name=一ノ瀬怜 
message text=おはよう。今日もこれから恋愛相談か？ name={user} 
message text=はい、サプライズ企画の収録で name=一ノ瀬怜 
message text=またファンの相談に乗ってきます name=一ノ瀬怜 
message text=表情が暗いな…… name={user} 
message text=まだ悩んでいるのか？ name={user} 
message text=悩むに決まってるじゃないですか name=一ノ瀬怜 
message text=私に恋愛相談なんて向いてないんですから name=一ノ瀬怜 
message text=どうして私なんかに相談するんでしょう name=一ノ瀬怜 
message text=もっとふさわしい人が他にいると思うのに…… name=一ノ瀬怜 
message text=……一つ質問していいか？ name={user} 
message text=怜なら恋愛相談するとしたら誰にする？ name={user} 
message text=私は恋愛なんてしてませんけど…… name=一ノ瀬怜 
message text=例えばの話だ。恋愛じゃなくてもいい。悩んだり name={user} 
message text=迷ったりした時に相談したい相手を思い浮かべてくれ name={user} 
message text=…………思い浮かべました name=一ノ瀬怜 
message text=怜は、どうしてその人に相談しようと思ったんだ？ name={user} 
message text=それは……信頼出来る人だからです name=一ノ瀬怜 
message text=私の話を真剣に聞いて、親身になって考えてくれて…… name=一ノ瀬怜 
message text=この人なら、迷っている私の背中を name=一ノ瀬怜 
message text=押してくれると思ったから…… name=一ノ瀬怜 
message text=きっとファンのみんなも同じだよ name={user} 
message text=怜なら、迷っている自分の背中を押してくれる name={user} 
message text=そう思ったから相談したんじゃないか？ name={user} 
message text=恋愛に詳しいかどうかは関係ない…… name=一ノ瀬怜 
message text=信頼出来て、一緒に答えを考えてくれる人だから…… name=一ノ瀬怜 
message text=迷っている自分の背中を押してくれる人だから name=一ノ瀬怜 
message text=相談したいと思った…… name=一ノ瀬怜 
message text=雑誌のインタビュー、ライブのMC、テレビで歌う姿 name={user} 
message text=……ファンはいつも怜を見ている name={user} 
message text=だから分かるんだ。怜がひたむきで、真っ直ぐで name={user} 
message text=勇気をもらえるアイドルだってことを name={user} 
message text=一ノ瀬怜なら、一歩踏み出す勇気をくれる…… name=一ノ瀬怜 
message text=だから相談したいと思ってくれた…… name=一ノ瀬怜 
message text=恋愛経験なんて関係ない…… name=一ノ瀬怜 
message text=私は私らしく答えればいいんですね name=一ノ瀬怜 
message text=ありがとうございます name=一ノ瀬怜 
message text=おかげで気持ちが楽になりました name=一ノ瀬怜 
message text=悩んでいるみんなが一歩踏み出せるように name=一ノ瀬怜 
message text=私なりに精一杯応援してみます name=一ノ瀬怜 
message text=その意気だ。……ところで、ちょっと気になったんだが name={user} 
message text=さっき怜は相談する相手に誰を想像したんだ？ name={user} 
message text=それは……だ、誰でもいいじゃないですか！ name=一ノ瀬怜 
message text=言う必要はありません name=一ノ瀬怜 
message text=（怜が信頼していて、この人と一緒なら） name={user} 
message text=（前に進めると思える相手……。一体誰なんだ？） name={user} 
narration text=――数日後 
message text=そろそろ出番だ、準備はいいか？ name={user} 
message text=はい！　いつでも行けます！ name=一ノ瀬怜 
message text=今日はやけに気合いが入ってるな name={user} 
message text=何かいいことでもあったのか？ name={user} 
message text=実は……恋愛相談に乗った三人のうち、二人が告白に name=一ノ瀬怜 
message text=成功して、好きな人と付き合うことになったんです name=一ノ瀬怜 
message text=うまくいかなかった一人も、私のおかげで name=一ノ瀬怜 
message text=前に進むことが出来たって、感謝の手紙をくれました name=一ノ瀬怜 
message text=恋愛相談は大変だったけど name=一ノ瀬怜 
message text=ちゃんとみんなの背中を押せて良かったです name=一ノ瀬怜 
message text=その気持ちを忘れずに、アイドルとして name={user} 
message text=これからもみんなを勇気づけてくれ name={user} 
message text=はい！　私も、悩んでいる人に勇気を与えられるような name=一ノ瀬怜 
message text=みんなを応援するアイドルでありたいです name=一ノ瀬怜 
message text=みんな、いつも応援ありがとう！ name=一ノ瀬怜 
message text=いつも私は、みんなの応援から元気をもらってるから name=一ノ瀬怜 
message text=今日はお返しにステージから心を込めてエールを送るわ name=一ノ瀬怜 
message text=ううん……今日だけじゃない name=一ノ瀬怜 
message text=みんなが辛い時、苦しい時、私は全力で応援する name=一ノ瀬怜 
message text=頑張るみんなが一歩前へ踏み出せるように！ name=一ノ瀬怜 
message text=みんなが笑顔になれるように！ name=一ノ瀬怜 
message text=（凄い声援だ……。怜のエールは） name={user} 
message text=（ファンのみんなにしっかり届いているぞ） name={user} 
message text=（私の応援が誰かの心の支えになる……） name=一ノ瀬怜 
message text=（これがアイドルの持つ力……） name=一ノ瀬怜 
message text=（アイドルになる前は、ずっと一人で頑張って） name=一ノ瀬怜 
message text=（他人を応援する余裕なんてなかったけど……） name=一ノ瀬怜 
message text=（アイドルになって、こんなに大勢の人を） name=一ノ瀬怜 
message text=（応援出来ることが、今は凄く嬉しい……） name=一ノ瀬怜 
message text=（私の応援がみんなの勇気になるように……） name=一ノ瀬怜 
message text=（これからも、頑張るあなたを応援するわ） name=一ノ瀬怜 
message text=みんな、もっと笑顔になって！ name=一ノ瀬怜 
message text=Go　Go　Let's　Go！ name=一ノ瀬怜 
