title title=一ノ瀬怜 3話 はい、大好きです
narration text=――怜が洞窟に入ってから数時間後 
message text=はぁ、はぁ…… name=一ノ瀬怜 
message text=ようやく地上に戻れた…… name=一ノ瀬怜 
message text=よく帰って来たな。お疲れ様 name={user} 
message text={user}さん…… name=一ノ瀬怜 
message text=ちゃんと私が戻るのを待っててくれたんですね name=一ノ瀬怜 
message text=ふふ……{user}さんの顔を見ると name=一ノ瀬怜 
message text=緊張が解けてホッとします name=一ノ瀬怜 
message text=緊張感のない顔で悪かったな name={user} 
message text=それで、絶景は見れたのか？ name={user} 
message text=それが、聞いて下さい！ name=一ノ瀬怜 
message text=洞窟の中に湖があったんです！ name=一ノ瀬怜 
message text=洞窟の天井に穴が空いてて光が差し込んでいたんですが name=一ノ瀬怜 
message text=光の加減によって水面が青く煌めいて見えるんです name=一ノ瀬怜 
message text=とても幻想的な光景で name=一ノ瀬怜 
message text=カメラの前なのに喋るのも忘れて見とれてしまいました name=一ノ瀬怜 
message text=凄く神秘的で、息を呑むくらい綺麗な景色で…… name=一ノ瀬怜 
message text=みんなにも見せたかったな…… name=一ノ瀬怜 
message text=綺麗な景色を見た最初の感想が name={user} 
message text=「みんなにも見せたかった」か…… name={user} 
message text=サニピのみんなと嬉しさや楽しさを分かち合うのは name={user} 
message text=怜にとって当たり前のことになっているんだな name={user} 
message text=そうですね……今の私には、みんなと一緒に過ごして name=一ノ瀬怜 
message text=みんなと喜びを共有するのが当たり前のことなんです name=一ノ瀬怜 
message text=無人島のロケでは、みんなに振り回されましたけど name=一ノ瀬怜 
message text=同じくらいみんなに助けられました name=一ノ瀬怜 
message text=私一人だったら無人島の生活に耐えられなかった…… name=一ノ瀬怜 
message text=みんなと一緒だったから最後までやり遂げられたんです name=一ノ瀬怜 
message text=怜はサニピのみんなのことが大好きなんだな name={user} 
message text=はい、大好きです name=一ノ瀬怜 
message text=……って、何を言わせるんですか name=一ノ瀬怜 
message text=うぅ……こんな恥ずかしいことを言うなんて name=一ノ瀬怜 
message text=歩き疲れて頭が回らなくなってるのかも…… name=一ノ瀬怜 
message text=照れくさいので、今話したことは…… name=一ノ瀬怜 
message text=みんなには内緒にして下さいね？ name=一ノ瀬怜 
message text=分かったよ。ここだけの秘密だ name={user} 
message text=（でも、怜がサニピのみんなを好きな気持ちは） name={user} 
message text=（みんなにはとっくにバレてると思うぞ） name={user} 
narration text=――数週間後 
message text=怜が出演した番組、オンエアされたのを観たよ name={user} 
message text=地底湖が神秘的で本当に綺麗だったな name={user} 
message text=私も寮でみんなと一緒に観ました name=一ノ瀬怜 
message text=そうしたら、さくら達に羨ましがられて…… name=一ノ瀬怜 
message text=私も行きたかっただの、一人で見て来たなんて name=一ノ瀬怜 
message text=ずるいだの、不満を言われてしまいました name=一ノ瀬怜 
message text=という訳で、今度お仕事で絶景を見に行く時は name=一ノ瀬怜 
message text=みんなで行かせて下さい name=一ノ瀬怜 
message text=みんながいれば怜が一人で寂しい思いを name={user} 
message text=することもないし、その方がいいかもしれないな name={user} 
message text=わ、私は寂しいなんて一言も言ってません！ name=一ノ瀬怜 
message text=私は別に一人でも平気です name=一ノ瀬怜 
message text=その割に、この間のロケでも name={user} 
message text=歩きながらずっとみんなの話をしていたじゃないか name={user} 
message text=あ、あれは話の流れでそうなっただけで…… name=一ノ瀬怜 
message text=……考えてみたら、出発する前も、歩いている間も name=一ノ瀬怜 
message text=カメラはずっと回っていたんですよね name=一ノ瀬怜 
message text=私がサニピのみんなのことを語っているところが name=一ノ瀬怜 
message text=オンエアでも結構使われていました name=一ノ瀬怜 
message text=そうそう。怜の隠しきれないメンバー愛が尊いと name={user} 
message text=ネットで話題になっていたぞ name={user} 
message text=なんですかそれ name=一ノ瀬怜 
message text=私はそんな恥ずかしいことを言った覚えは…… name=一ノ瀬怜 
message text=……そういえば、一緒に番組を観ていたさくら達が name=一ノ瀬怜 
message text=妙にニコニコしながら私の顔を見ていたような…… name=一ノ瀬怜 
message text=ジャングルを歩き回って疲れていたからな name={user} 
message text=つい本音が漏れたとしても仕方ないさ name={user} 
message text=で、ですから本音も何も、私は一人でも平気ですし name=一ノ瀬怜 
message text=みんながいなくても寂しくなんてありませんから！ name=一ノ瀬怜 
message text=その証拠に、今回のロケだって name=一ノ瀬怜 
message text=一人だったけど寂しいとは感じませんでした name=一ノ瀬怜 
message text=……まぁ、{user}さんと別れて name=一ノ瀬怜 
message text=洞窟に入った時は、少し心細かったですけど name=一ノ瀬怜 
message text=あ……ひょっとして、一人でも心細くなかったのは name=一ノ瀬怜 
message text={user}さんがそばにいたから…… name=一ノ瀬怜 
message text=ん？　どうかしたのか？ name={user} 
message text=いえ！　なんでもありません！ name=一ノ瀬怜 
message text=……？ name={user} 
message text=おっと、電話だ。はい、お世話になっております―― name={user} 
message text=サニピに入る前はずっと一人で頑張ってたのに name=一ノ瀬怜 
message text=いつの間にか、みんなと一緒が当たり前になって…… name=一ノ瀬怜 
message text={user}さんが name=一ノ瀬怜 
message text=そばで見守ってくれるのが当たり前になって…… name=一ノ瀬怜 
message text=サニピのみんなと{user}さんが name=一ノ瀬怜 
message text=いてくれるから、私は安心して思い切り頑張れる…… name=一ノ瀬怜 
message text=……{user}さん、私のこと name=一ノ瀬怜 
message text=これからもちゃんと、そばで見ていて下さいね name=一ノ瀬怜 
